
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
226,Antuan Edwards,GNB,23,,12,3,2,4,0,4,0,,,,,,,21,4,
227,Donnie Edwards,KAN,27,RLB,16,16,2,45,1,42,0,0,0,1,11,0,1.0,114,18,
228,Marc Edwards,CLE,26,FB,16,8,,,,,,0,2,1,0,0,,,,
229,Mario Edwards,DAL,25,,11,1,,,,,,,,,,,,5,0,
230,Ebenezer Ekuban,DAL,24,,12,2,,,,,,2,0,1,0,0,6.5,22,7,
231,Greg Ellis,DAL,25,LDE,16,16,,,,,,0,0,2,0,0,3.0,40,12,
232,Shaun Ellis,NYJ,23,,16,3,1,1,0,1,0,1,0,2,2,0,8.5,38,15,
233,Luther Elliss*,DET,27,RDT,16,16,,,,,,0,0,2,3,0,3.0,23,16,
234,Percy Ellsworth,CLE,26,FS,16,16,1,33,1,33,0,0,0,1,16,0,,56,10,
235,Keith Embray,TEN,31,,14,0,,,,,,,,,,,3.5,7,3,
236,Carlos Emmons,PHI,27,RLB,16,13,2,8,0,8,0,1,0,1,2,0,0.5,55,23,
237,John Engelberger,SFO,24,RDE,16,13,,,,,,1,0,0,0,0,3.0,22,8,
238,Bobby Engram,CHI,27,,3,3,,,,,,0,1,1,0,0,,,,
239,Doug Evans,CAR,30,RCB,16,16,2,17,0,17,0,1,0,5,-3,0,,66,13,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
240,Terry Fair,DET,24,RCB,15,15,2,0,0,0,0,0,1,1,2,0,,46,11,
241,Alan Faneca,PIT,24,LG,16,16,,,,,,0,0,1,0,0,,,,
242,D'Marco Farr,STL,29,rdt,10,5,,,,,,,,,,,1.0,11,4,
243,James Farrior,NYJ,25,rolb,16,6,1,0,0,0,0,1,0,1,0,0,1.0,46,10,
244,Kevin Faulk,NWE,24,RB,16,9,,,,,,0,6,1,0,0,,,,
245,Marshall Faulk*+,STL,27,RB,14,14,,,,,,0,0,2,0,0,,,,
246,Christian Fauria,SEA,29,TE,15,10,,,,,,0,1,1,0,0,,,,
247,Greg Favors,TEN,26,LLB,16,15,,,,,,1,0,0,0,0,5.5,28,9,
248,Brett Favre,GNB,31,QB,16,16,,,,,,0,9,2,-12,0,,,,
249,Jermaine Fazande,SDG,25,rb,13,7,,,,,,0,1,1,0,0,,,,
250,Jason Ferguson,NYJ,26,NT,15,11,,,,,,,,,,,1.0,34,11,
251,Nick Ferguson,NYJ,26,,7,0,1,20,0,20,0,,,,,,,5,4,
252,John Fiala,PIT,27,,16,0,,,,,,,,,,,,4,2,
253,Mark Fields*,NOR,28,RLB,16,14,,,,,,,,,,,2.0,63,21,
254,John Fina,BUF,31,LT,14,14,,,,,,0,0,1,0,0,,,,
255,Jason Fisk,TEN,28,RDT,15,15,,,,,,1,0,0,0,0,2.0,32,8,
